what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313030277359
started,bundle,org.eclipse.cdt.dsf,2.1.0.201009141542,"org.eclipse.cdt.dsf",1313030278500
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1313030278500
opened,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1313030281062
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1313030281390
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1313030281421
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1313030304640
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1313030306984
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313030342750
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313030344859
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1313030344875
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313030385484
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313030386828
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313030386843
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313030390718
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1313030397250
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1313030400750
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1313030407375
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1313030441140
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1313030447687
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1313030472703
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1313030477906
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1313030478921
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1313030533531
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1313030533781
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1313030533859
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1313030535109
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1313030536265
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1313030537515
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313030540265
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313030560812
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313030561093
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1313030561171
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313030561218
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1313030561234
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313030561250
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313030564687
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1313030570062
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1313030572593
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313030573671
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313030574906
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1313030574921
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1313030574921
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1313030574937
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313030574953
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313030577359
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313030579750
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313030587375
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1313030587390
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.rename",1313030587390
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1313030588906
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313030592656
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313030596187
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1313030596203
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.rename",1313030596203
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313030596234
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313030598078
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1313030598796
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1313030599609
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1313030602203
